key,title,created,issue_type,reporter,site,title_clean,title_lower,category,confidence
SD-166577,Brak zużycia na wszystkich PP - 04.07,2025-07-07 23:58:06.846000+02:00,Usługa,PL-00309 W-wa 42 Janki 2,309,Brak zużycia na wszystkich PP - 04.07,brak zużycia na wszystkich pp - 04.07,inne,0.5
SD-166576,CSO31 - Nie może sie uruchomić,2025-07-07 23:50:59.112000+02:00,Incydent,PL-00576 Turek,576,CSO31 - Nie może sie uruchomić,cso31 - nie może sie uruchomić,inne,0.5
SD-166574,Mystore - bledne dane w edycji odbic czasowych ,2025-07-07 23:39:02.153000+02:00,Incydent,PL-00068 Gorzow Wlkp 1,068,Mystore - bledne dane w edycji odbic czasowych,mystore - bledne dane w edycji odbic czasowych,MyStore – Prośba o pomoc w edycji odbić czasowych,0.9
SD-166573,Brak zalogowanego urz.,2025-07-07 23:38:13.111000+02:00,Incydent,PL-00266 Krakow 13 Mogilany,266,Brak zalogowanego urz.,brak zalogowanego urz.,inne,0.5
SD-166571,DT SBS - pytanie na temat zamiany,2025-07-07 23:31:31.506000+02:00,Usługa,PL-00612 Gdynia Szperk,612,DT SBS - pytanie na temat zamiany,dt sbs - pytanie na temat zamiany,inne,0.5
SD-166570,Zapytanie na temat minusów na inventaryzacji ,2025-07-07 23:31:16.529000+02:00,Usługa,PL-00309 W-wa 42 Janki 2,309,Zapytanie na temat minusów na inventaryzacji,zapytanie na temat minusów na inventaryzacji,inne,0.5
SD-166569,"Newpos - Zamknięcie nie przeszło na kasie, z której był zamykany dzień.",2025-07-07 23:30:38.180000+02:00,Incydent,Warszawa Reguly PL-00689,689,"Newpos - Zamknięcie nie przeszło na kasie, z której był zamykany dzień.","newpos - zamknięcie nie przeszło na kasie, z której był zamykany dzień.","Newpos – Zamknięcie nie przeszło na kasie, z której był zamykany dzień",0.9
SD-166568,POS07 - drukarka fiskalna ,2025-07-07 23:26:43.211000+02:00,Incydent,PL-00238 Wroclaw 12 ECE,238,POS07 - drukarka fiskalna,pos07 - drukarka fiskalna,inne,0.5
SD-166567,Zapytanie na temat zmiany na linni drive,2025-07-07 23:25:57.703000+02:00,Usługa,PL-00666 Radzymin,666,Zapytanie na temat zmiany na linni drive,zapytanie na temat zmiany na linni drive,inne,0.5
SD-166566,"Newpos - Zamknięcie nie przeszło na kasie, z której był zamykany dzień.",2025-07-07 23:25:27.568000+02:00,Incydent,PL-00462 Airport - Airside,462,"Newpos - Zamknięcie nie przeszło na kasie, z której był zamykany dzień.","newpos - zamknięcie nie przeszło na kasie, z której był zamykany dzień.","Newpos – Zamknięcie nie przeszło na kasie, z której był zamykany dzień",0.9
SD-166565,CR .240 - zawieszona aplikacja - brak możliwości zalogowania,2025-07-07 23:24:18.665000+02:00,Incydent,PL-00558 W-wa Warsaw Hub,558,CR .240 - zawieszona aplikacja - brak możliwości zalogowania,cr .240 - zawieszona aplikacja - brak możliwości zalogowania,inne,0.5
SD-166564,POS07  - błędna data na DF.,2025-07-07 23:20:12.850000+02:00,Incydent,PL-00410 Swinoujscie,410,POS07  - błędna data na DF.,pos07  - błędna data na df.,inne,0.5
SD-166563,Mystore - Brak mozliwosci zalogwania sie ,2025-07-07 23:19:37.634000+02:00,Incydent,PL-00402 MOP Sople 2 Zachod,402,Mystore - Brak mozliwosci zalogwania sie,mystore - brak mozliwosci zalogwania sie,inne,0.5
